CSID,CaseMasterID,csdate,cstype,PolicePersonID
133,243,2025-12-11T14:40:24.201472,B,824
134,244,2025-07-20T14:40:24.201668,A,373
135,246,2026-08-04T14:40:24.201842,A,104
136,250,2025-08-31T14:40:24.202408,A,750
137,251,2025-12-19T14:40:24.202580,C,720
138,252,2025-02-15T14:40:24.202747,B,77
139,253,2026-02-18T14:40:24.202843,A,371
140,255,2026-08-18T14:40:24.203022,A,212
141,256,2026-07-29T14:40:24.203115,B,100
142,257,2025-05-15T14:40:24.203253,A,1061
143,260,2025-05-21T14:40:24.203627,A,217
144,262,2026-06-07T14:40:24.203886,C,104
145,264,2025-10-23T14:40:24.204103,A,281
146,266,2025-03-27T14:40:24.204280,C,500
147,267,2025-03-07T14:40:24.204383,A,97
148,268,2026-05-01T14:40:24.204469,A,259
149,269,2026-10-09T14:40:24.204617,A,389
150,270,2026-06-14T14:40:24.204764,C,105
151,271,2025-08-05T14:40:24.204880,B,111
152,272,2026-04-07T14:40:24.204971,A,93
153,276,2026-06-15T14:40:24.205329,A,12
154,279,2025-08-30T14:40:24.205647,A,17
155,281,2025-11-28T14:40:24.205810,B,346
156,283,2026-08-04T14:40:24.205979,C,905
157,284,2025-08-02T14:40:24.206097,A,288
158,285,2025-01-31T14:40:24.206195,A,112
159,286,2026-10-15T14:40:24.206332,A,114
160,287,2025-05-28T14:40:24.206432,A,641
161,289,2025-05-31T14:40:24.206755,A,225
162,290,2025-03-31T14:40:24.206879,C,83
163,292,2026-08-28T14:40:24.207116,C,278
164,294,2026-05-03T14:40:24.207338,A,327
165,298,2026-08-11T14:40:24.207746,A,97
166,302,2026-01-26T14:40:24.208342,A,208
167,303,2024-09-18T14:40:24.208444,C,994
168,304,2026-01-21T14:40:24.208540,A,34
169,305,2026-04-28T14:40:24.208697,B,287
170,307,2024-09-17T14:40:24.208881,B,28
171,311,2026-01-16T14:40:24.209278,A,749
172,313,2025-01-16T14:40:24.209513,C,978
173,314,2025-06-27T14:40:24.209702,B,948
174,316,2025-11-11T14:40:24.209909,A,55
175,317,2025-06-26T14:40:24.209976,A,709
176,320,2025-04-13T14:40:24.210199,C,15
177,324,2025-08-12T14:40:24.210640,A,708
178,325,2026-10-01T14:40:24.210725,C,95
179,327,2025-01-11T14:40:24.210974,B,299
180,331,2026-06-15T14:40:24.212360,A,95
181,332,2025-08-01T14:40:24.212460,A,684
182,333,2025-10-14T14:40:24.212604,A,15
183,334,2025-11-04T14:40:24.212713,A,690
184,335,2026-07-31T14:40:24.212811,B,96
185,337,2026-11-05T14:40:24.213103,C,963
186,338,2025-11-30T14:40:24.213238,A,413
187,341,2026-08-23T14:40:24.213487,B,101
188,344,2024-11-13T14:40:24.213888,A,364
189,346,2025-12-19T14:40:24.214079,B,120
190,349,2026-09-12T14:40:24.214583,A,111
191,350,2025-07-18T14:40:24.214711,A,101
192,352,2026-05-26T14:40:24.214870,A,117
193,353,2026-09-24T14:40:24.215001,A,935
194,356,2025-11-13T14:40:24.215306,C,796
195,358,2026-09-26T14:40:24.215515,A,105
196,359,2025-10-07T14:40:24.215656,C,661
197,362,2026-01-22T14:40:24.216066,C,1035
198,364,2025-04-11T14:40:24.216335,A,1070
199,368,2026-09-12T14:40:24.216817,C,103
200,373,2026-05-23T14:40:24.217362,A,246
201,375,2026-08-22T14:40:24.217518,C,22
202,377,2026-06-23T14:40:24.217780,B,95
203,378,2026-11-13T14:40:24.217868,C,120
204,379,2025-06-11T14:40:24.217984,C,663
205,381,2025-05-11T14:40:24.218213,A,105
206,383,2025-08-17T14:40:24.218396,C,183
207,384,2026-03-31T14:40:24.218467,A,707
208,385,2025-03-02T14:40:24.218639,A,115
209,386,2026-09-18T14:40:24.218756,A,599
210,391,2025-02-08T14:40:24.219222,A,117
211,393,2026-02-26T14:40:24.219384,B,21
212,395,2025-11-28T14:40:24.219632,A,13
213,396,2025-10-03T14:40:24.219732,B,110
214,398,2026-09-21T14:40:24.220015,A,108
215,399,2025-03-22T14:40:24.220151,A,113
216,400,2026-08-05T14:40:24.220236,A,679
217,405,2026-05-28T14:40:24.220991,B,184
218,411,2025-04-18T14:40:24.221584,B,959
219,412,2026-08-08T14:40:24.221697,B,440
220,413,2026-05-22T14:40:24.221790,A,329
221,414,2025-03-12T14:40:24.221868,A,105
222,415,2026-10-13T14:40:24.221984,A,198
223,422,2026-09-19T14:40:24.222780,A,93
224,424,2024-10-15T14:40:24.222954,A,466
225,425,2025-02-13T14:40:24.223069,C,489
226,426,2026-08-08T14:40:24.223219,A,110
227,427,2026-04-20T14:40:24.223302,A,99
228,428,2025-01-23T14:40:24.223450,C,321
229,430,2025-05-29T14:40:24.223726,B,897
230,431,2025-02-09T14:40:24.223805,A,379
231,432,2025-03-16T14:40:24.223969,C,209
232,433,2026-09-07T14:40:24.224052,A,205
233,434,2025-01-08T14:40:24.224178,C,80
234,435,2026-03-13T14:40:24.224319,A,116
235,436,2025-08-14T14:40:24.224483,A,934
236,437,2026-01-20T14:40:24.224635,A,232
237,439,2024-12-27T14:40:24.224905,A,688
238,441,2024-12-20T14:40:24.225196,C,112
239,443,2024-10-07T14:40:24.225511,A,769
240,445,2025-07-10T14:40:24.225799,A,64
241,446,2026-08-08T14:40:24.225881,A,106
242,447,2025-05-23T14:40:24.225964,C,147
243,449,2025-09-25T14:40:24.226159,A,633
244,450,2025-03-05T14:40:24.226317,A,93
245,451,2026-07-10T14:40:24.226447,C,296
246,452,2025-04-19T14:40:24.226694,A,1044
247,453,2026-07-08T14:40:24.226787,A,16
248,459,2025-06-15T14:40:24.227342,A,7
249,460,2025-01-31T14:40:24.227432,B,100
250,461,2025-02-27T14:40:24.227571,B,113
251,462,2025-09-29T14:40:24.227667,B,151
252,463,2024-12-07T14:40:24.227791,A,513
253,464,2025-10-20T14:40:24.227925,A,177
254,465,2026-04-21T14:40:24.228003,C,117
255,471,2024-10-13T14:40:24.228591,A,109
256,472,2026-04-13T14:40:24.228711,A,98
257,475,2026-09-19T14:40:24.229179,A,109
258,477,2026-02-23T14:40:24.229359,C,1016
259,479,2024-11-28T14:40:24.229503,A,138
260,481,2025-08-19T14:40:24.229745,A,38
261,482,2024-11-23T14:40:24.229839,A,69
262,483,2025-11-04T14:40:24.229948,A,721
263,484,2026-09-27T14:40:24.230083,C,102
264,491,2026-01-24T14:40:24.230857,B,177
265,493,2026-06-13T14:40:24.231049,A,259
266,494,2026-02-23T14:40:24.231185,A,365
267,495,2025-08-12T14:40:24.231305,A,1042
268,497,2024-10-12T14:40:24.231648,C,800
269,500,2025-01-24T14:40:24.232039,C,472
270,501,2026-04-21T14:40:24.232169,B,295
271,503,2026-01-08T14:40:24.232444,B,111
272,505,2025-07-31T14:40:24.232761,B,1073
273,507,2025-03-17T14:40:24.232983,C,912
274,508,2025-02-02T14:40:24.233090,C,376
275,509,2026-06-10T14:40:24.233193,C,106
276,510,2025-06-30T14:40:24.233313,A,448
277,511,2026-08-19T14:40:24.233449,A,104
278,516,2024-12-05T14:40:24.234034,A,94
279,517,2025-12-23T14:40:24.234140,A,365
280,518,2025-03-16T14:40:24.234228,C,1070
281,522,2025-11-01T14:40:24.234716,C,294
282,523,2024-10-04T14:40:24.234789,A,116
283,524,2025-03-10T14:40:24.234881,A,1032
284,525,2026-09-10T14:40:24.235041,B,710
285,529,2026-08-12T14:40:24.235570,A,98
286,530,2024-12-25T14:40:24.235672,B,466
287,532,2026-02-17T14:40:24.235907,A,119
288,533,2025-05-20T14:40:24.235988,A,740
289,534,2026-05-26T14:40:24.236090,C,109
290,544,2026-01-20T14:40:24.237113,A,912
291,545,2026-03-26T14:40:24.237211,A,58
292,547,2024-12-22T14:40:24.237411,C,95
293,550,2026-01-14T14:40:24.237771,C,104
294,554,2024-11-14T14:40:24.238192,C,87
295,555,2024-11-20T14:40:24.238284,C,110
296,557,2026-09-03T14:40:24.238455,B,72
297,559,2025-04-07T14:40:24.238691,B,587
298,560,2025-09-19T14:40:24.238918,B,1028
299,565,2026-09-18T14:40:24.239470,C,953
300,569,2025-04-14T14:40:24.242230,A,8
301,570,2025-09-12T14:40:24.242408,A,114
302,572,2025-09-07T14:40:24.242667,A,528
303,573,2026-02-06T14:40:24.242773,B,145
304,576,2026-10-04T14:40:24.243119,B,110
305,577,2026-05-09T14:40:24.243244,A,109
306,580,2026-01-21T14:40:24.243640,A,849
307,583,2026-10-07T14:40:24.244065,B,450
308,584,2025-11-03T14:40:24.244221,C,19
309,585,2024-10-10T14:40:24.244352,A,93
310,589,2025-11-18T14:40:24.244826,B,432
311,590,2025-02-04T14:40:24.244953,A,870
312,593,2026-07-05T14:40:24.245300,C,95
313,595,2025-01-10T14:40:24.245625,A,93
314,597,2025-12-27T14:40:24.245831,A,719
315,599,2026-08-22T14:40:24.246017,A,108
316,600,2026-03-30T14:40:24.246123,A,94
317,601,2025-01-10T14:40:24.246238,A,1038
318,603,2026-01-19T14:40:24.246469,A,93
319,604,2025-11-09T14:40:24.246636,A,18
320,605,2026-03-21T14:40:24.246747,B,119
321,607,2025-05-08T14:40:24.246997,B,309
322,609,2026-04-11T14:40:24.247223,A,685
323,610,2026-07-05T14:40:24.247325,B,117
324,612,2026-07-07T14:40:24.247482,C,474
325,613,2024-12-03T14:40:24.247625,C,57
326,615,2026-08-12T14:40:24.247952,A,72
327,616,2026-11-09T14:40:24.248105,C,70
328,617,2025-02-21T14:40:24.248250,A,563
329,619,2025-07-20T14:40:24.248433,B,106
330,620,2026-07-18T14:40:24.248508,B,96
331,624,2026-03-08T14:40:24.249037,C,1049
332,625,2026-04-19T14:40:24.249161,A,81
333,628,2025-10-06T14:40:24.249451,C,109
334,629,2026-01-01T14:40:24.249613,C,1025
335,630,2025-10-03T14:40:24.249749,C,333
336,634,2025-11-15T14:40:24.250241,B,822
337,635,2026-11-11T14:40:24.250427,B,683
338,636,2025-10-02T14:40:24.250519,C,296
339,637,2025-05-15T14:40:24.250670,B,930
340,641,2026-01-10T14:40:24.251179,A,716
341,642,2026-11-15T14:40:24.251309,C,114
342,643,2026-08-10T14:40:24.251440,C,111
343,646,2026-01-04T14:40:24.251825,A,26
344,647,2025-02-22T14:40:24.251996,A,183
345,650,2025-09-12T14:40:24.252361,A,634
346,655,2026-02-20T14:40:24.253020,B,120
347,656,2026-09-15T14:40:24.253105,A,93
348,658,2025-10-21T14:40:24.253343,A,663
349,659,2026-09-17T14:40:24.253460,C,110
350,660,2024-11-18T14:40:24.253579,A,271
351,661,2025-12-24T14:40:24.253730,A,117
352,662,2024-12-19T14:40:24.253813,A,94
353,663,2025-01-31T14:40:24.253891,C,93
354,665,2025-12-06T14:40:24.254079,A,220
355,666,2026-01-25T14:40:24.254245,A,109
356,667,2026-07-31T14:40:24.254375,A,106
357,670,2026-11-24T14:40:24.254799,A,980
358,674,2025-09-13T14:40:24.255249,A,434
359,675,2025-05-08T14:40:24.255376,C,55
360,676,2026-07-18T14:40:24.255453,A,711
361,677,2025-09-16T14:40:24.255617,B,299
362,678,2025-08-03T14:40:24.255722,B,103
363,679,2025-12-29T14:40:24.255898,A,1058
364,681,2026-08-28T14:40:24.256100,C,104
365,683,2026-05-14T14:40:24.256307,A,285
366,684,2025-06-28T14:40:24.256500,A,364
367,686,2024-11-13T14:40:24.256774,A,342
368,687,2025-12-05T14:40:24.256869,B,107
369,688,2026-07-11T14:40:24.257025,A,109
370,691,2025-12-15T14:40:24.257372,A,868
371,693,2025-03-18T14:40:24.257604,A,728
372,694,2024-12-05T14:40:24.257706,A,120
373,695,2025-11-27T14:40:24.257840,C,521
374,696,2025-08-28T14:40:24.257922,C,1053
375,697,2026-04-09T14:40:24.258051,C,331
376,700,2024-11-17T14:40:24.258410,A,504
377,701,2025-06-03T14:40:24.258509,A,111
378,706,2026-02-08T14:40:24.259030,A,111
379,708,2026-07-03T14:40:24.259239,C,120
380,710,2025-12-28T14:40:24.259461,A,99
381,711,2026-10-27T14:40:24.259616,C,1052
382,714,2026-02-17T14:40:24.260011,A,917
383,715,2024-09-17T14:40:24.260103,A,60
384,716,2025-03-21T14:40:24.260244,B,114
385,717,2026-01-29T14:40:24.260343,C,120
386,718,2024-08-25T14:40:24.260438,C,550
387,719,2025-01-14T14:40:24.260585,B,56
388,720,2026-09-09T14:40:24.260699,A,106
389,721,2025-05-26T14:40:24.260813,A,559
390,722,2026-05-31T14:40:24.260915,A,113
391,723,2024-12-06T14:40:24.261036,A,107
392,724,2026-06-23T14:40:24.261148,C,381
393,725,2025-07-11T14:40:24.261239,A,964
394,726,2026-05-28T14:40:24.261332,B,755
395,727,2024-12-18T14:40:24.261488,B,69
396,730,2025-05-04T14:40:24.261907,A,375
397,734,2025-03-16T14:40:24.262328,A,78
398,737,2026-05-14T14:40:24.262801,B,859
399,738,2025-03-22T14:40:24.262887,B,1037
400,742,2026-07-19T14:40:24.263303,A,1008
401,743,2026-11-17T14:40:24.263407,A,69
402,744,2025-05-03T14:40:24.263489,A,656
403,745,2025-07-14T14:40:24.263649,B,102
404,746,2025-04-26T14:40:24.263793,A,301
405,748,2026-08-07T14:40:24.264066,C,105
406,754,2025-09-07T14:40:24.264748,C,81
407,755,2025-12-20T14:40:24.264884,A,456
408,756,2026-10-31T14:40:24.264996,B,111
409,757,2025-11-17T14:40:24.265126,A,1057
410,758,2026-03-15T14:40:24.265259,C,29
411,761,2026-10-09T14:40:24.265540,C,104
412,762,2025-07-06T14:40:24.265706,B,343
413,763,2026-07-22T14:40:24.265806,A,287
414,765,2025-11-25T14:40:24.265963,C,104
415,766,2024-11-06T14:40:24.266034,A,115
416,767,2026-10-30T14:40:24.266128,A,300
417,769,2025-04-09T14:40:24.266318,B,796
418,770,2025-03-18T14:40:24.266420,C,44
419,772,2026-04-20T14:40:24.266639,B,115
420,773,2025-05-29T14:40:24.266720,A,705
421,774,2025-11-19T14:40:24.266823,B,205
422,775,2026-02-25T14:40:24.266984,A,105
423,777,2026-09-13T14:40:24.267317,B,79
424,778,2025-05-04T14:40:24.267441,C,97
425,779,2025-03-27T14:40:24.267518,B,90
426,781,2026-12-01T14:40:24.267782,A,180
427,788,2024-11-12T14:40:24.268741,A,78
428,790,2026-10-26T14:40:24.268989,C,108
429,791,2026-09-11T14:40:24.269122,A,171
430,793,2025-05-21T14:40:24.269339,C,1041
431,800,2025-09-23T14:40:24.270169,A,977
432,801,2025-09-15T14:40:24.270353,C,338
433,803,2026-03-09T14:40:24.270800,B,100
434,804,2026-06-07T14:40:24.271009,A,109
435,805,2025-07-19T14:40:24.271119,C,105
436,806,2025-11-02T14:40:24.271263,A,301
437,807,2025-12-27T14:40:24.271355,A,595
438,810,2026-11-17T14:40:24.271753,C,107
439,812,2025-12-03T14:40:24.272095,A,364
440,814,2026-06-27T14:40:24.272301,C,117
441,815,2025-03-19T14:40:24.272408,A,25
442,816,2026-09-04T14:40:24.272492,A,98
443,817,2026-08-03T14:40:24.272695,C,101
444,818,2025-05-25T14:40:24.272824,A,138
445,822,2025-04-27T14:40:24.273219,A,997
446,823,2026-07-04T14:40:24.273306,A,842
447,825,2026-12-16T14:40:24.273630,A,481
448,827,2026-08-30T14:40:24.273899,A,714
449,829,2024-10-21T14:40:24.274156,C,1057
450,831,2025-05-14T14:40:24.274409,B,156
451,833,2025-12-20T14:40:24.274658,A,716
452,834,2025-02-11T14:40:24.274896,A,353
453,837,2024-11-29T14:40:24.275303,B,412
454,838,2025-08-09T14:40:24.275384,A,383
455,839,2025-04-25T14:40:24.275480,A,15
456,840,2026-07-26T14:40:24.275654,A,96
457,841,2025-03-01T14:40:24.275812,A,112
458,842,2026-09-26T14:40:24.275944,A,403
459,845,2025-05-29T14:40:24.276232,A,82
460,849,2025-01-18T14:40:24.276685,A,15
461,853,2026-01-09T14:40:24.277222,A,104
462,854,2025-09-05T14:40:24.277365,A,104
463,856,2026-03-01T14:40:24.277594,B,457
464,862,2026-09-19T14:40:24.278184,C,102
465,864,2025-12-19T14:40:24.278325,B,98
466,865,2026-09-08T14:40:24.278459,A,112
467,868,2025-08-01T14:40:24.278751,A,236
468,869,2025-03-03T14:40:24.278863,C,387
469,870,2025-09-18T14:40:24.278957,A,109
470,872,2026-01-07T14:40:24.279250,A,82
471,873,2025-09-19T14:40:24.279352,C,455
472,875,2026-03-22T14:40:24.279634,A,941
473,876,2026-06-30T14:40:24.279733,C,109
474,878,2026-05-22T14:40:24.279991,A,1059
475,879,2025-06-12T14:40:24.280157,C,8
476,880,2026-11-04T14:40:24.280309,A,233
477,882,2026-07-07T14:40:24.280583,A,658
478,885,2025-01-12T14:40:24.281051,C,337
479,888,2025-10-06T14:40:24.281393,A,838
480,891,2025-06-30T14:40:24.281830,C,182
481,892,2026-07-15T14:40:24.281954,B,91
482,893,2025-08-14T14:40:24.282042,B,800
483,895,2026-07-21T14:40:24.282269,A,95
484,896,2025-05-29T14:40:24.282415,A,1038
485,898,2025-08-17T14:40:24.282671,A,100
486,899,2024-12-20T14:40:24.282797,A,113
487,900,2026-11-04T14:40:24.282938,A,117
488,901,2025-11-22T14:40:24.283056,B,104
489,902,2024-12-03T14:40:24.283185,A,139
490,903,2024-11-11T14:40:24.283259,B,724
491,904,2026-10-17T14:40:24.283362,B,99
492,906,2026-09-10T14:40:24.283506,C,23
493,907,2025-08-02T14:40:24.283632,C,24
494,908,2025-06-30T14:40:24.283742,A,824
495,910,2026-03-03T14:40:24.283967,C,886
496,912,2026-08-08T14:40:24.284244,B,3
497,914,2026-07-23T14:40:24.284589,A,113
498,915,2025-06-02T14:40:24.284685,A,113
499,916,2025-01-15T14:40:24.284764,A,13
500,918,2025-06-05T14:40:24.284988,B,217
501,919,2026-06-10T14:40:24.285143,A,113
502,921,2025-08-22T14:40:24.285436,A,459
503,925,2026-11-02T14:40:24.285886,A,822
504,926,2025-07-22T14:40:24.285976,A,391
505,932,2026-04-28T14:40:24.286623,A,326
506,934,2026-09-28T14:40:24.286888,B,106
507,936,2026-07-20T14:40:24.287319,B,107
508,937,2025-11-26T14:40:24.287443,A,79
509,938,2024-10-23T14:40:24.287578,C,578
510,939,2024-11-14T14:40:24.287753,C,449
511,940,2026-07-10T14:40:24.287968,C,1002
512,944,2026-03-12T14:40:24.288422,A,391
513,945,2025-09-23T14:40:24.288541,A,238
514,947,2024-09-08T14:40:24.288810,A,721
515,948,2026-11-16T14:40:24.288920,A,110
516,949,2026-05-14T14:40:24.289055,B,98
517,952,2025-07-14T14:40:24.289417,A,69
518,954,2024-12-12T14:40:24.289698,B,58
519,955,2026-07-13T14:40:24.289853,A,262
520,956,2026-09-18T14:40:24.289941,A,1
521,957,2025-11-19T14:40:24.290064,B,420
522,960,2026-06-13T14:40:24.290463,B,156
523,961,2025-06-23T14:40:24.290654,C,701
524,963,2026-06-01T14:40:24.290939,A,97
525,967,2026-01-31T14:40:24.291406,A,107
526,968,2024-12-14T14:40:24.291565,B,923
527,969,2026-09-04T14:40:24.291673,A,97
528,971,2025-01-29T14:40:24.291875,A,95
529,972,2026-03-28T14:40:24.291981,A,100
530,975,2025-04-09T14:40:24.292278,C,198
531,979,2026-10-09T14:40:24.292786,A,114
532,982,2026-09-24T14:40:24.293170,A,75
533,983,2025-11-04T14:40:24.293306,B,238
534,986,2025-10-06T14:40:24.293625,C,6
535,989,2026-06-03T14:40:24.294069,A,111
536,990,2025-01-26T14:40:24.294144,C,96
537,992,2026-09-23T14:40:24.294375,A,108
538,993,2025-06-06T14:40:24.294455,A,500
539,998,2026-10-05T14:40:24.295680,A,97
540,999,2025-08-20T14:40:24.295960,A,473
541,1000,2025-01-02T14:40:24.296181,C,1049
542,1002,2025-02-25T14:40:24.296398,C,485
543,1003,2026-07-09T14:40:24.296623,C,553
544,1005,2026-06-03T14:40:24.296954,B,1025
545,1010,2025-03-31T14:40:24.297473,A,116
546,1013,2025-04-15T14:40:24.297853,A,663
547,1014,2025-10-04T14:40:24.297940,B,198
548,1017,2026-09-15T14:40:24.298266,C,94
549,1018,2025-07-02T14:40:24.298414,C,849
550,1019,2026-07-02T14:40:24.298572,C,60
551,1021,2026-01-26T14:40:24.298830,A,1
552,1022,2025-12-19T14:40:24.298959,A,948
553,1023,2025-11-27T14:40:24.299073,A,102
554,1024,2026-09-01T14:40:24.299300,C,107
555,1025,2026-02-08T14:40:24.299440,B,112
556,1026,2025-09-17T14:40:24.299616,A,329
557,1029,2025-10-10T14:40:24.300093,B,1051
558,1030,2024-11-24T14:40:24.300231,C,195
559,1031,2026-01-12T14:40:24.300409,A,894
560,1032,2025-05-15T14:40:24.300506,A,229
561,1035,2024-09-17T14:40:24.300916,A,908
562,1036,2026-03-31T14:40:24.301047,A,107
563,1037,2026-08-07T14:40:24.301217,C,363
564,1038,2024-10-27T14:40:24.301346,A,27
565,1039,2026-09-25T14:40:24.301443,A,619
566,1040,2025-10-27T14:40:24.301621,C,55
567,1041,2025-04-05T14:40:24.301731,A,94
568,1042,2025-04-17T14:40:24.301832,A,104
569,1045,2026-07-25T14:40:24.302158,A,103
570,1046,2025-10-02T14:40:24.302241,A,117
571,1047,2025-01-13T14:40:24.302389,A,324
572,1048,2024-12-16T14:40:24.302513,A,258
573,1049,2026-06-16T14:40:24.302684,C,89
574,1050,2026-06-20T14:40:24.302791,B,364
575,1052,2026-07-24T14:40:24.303026,A,95
576,1058,2026-07-28T14:40:24.303866,A,1072
577,1059,2026-05-14T14:40:24.303993,A,933
578,1060,2026-03-13T14:40:24.304134,C,93
