CaseMasterID,OccuranceFrom,OccuranceTo,PlaceOfOccurance
60,2025-04-14T00:40:24.179438,2025-04-15T14:40:24.179438,"Prashad Nagar, Davanagere"
61,2025-03-17T19:40:24.179579,2025-03-18T14:40:24.179579,"Subramanian Circle, Chikkaballapura"
62,2026-04-27T15:40:24.179721,2026-04-30T14:40:24.179721,"Ramachandran Street, Belagavi"
63,2025-10-29T01:40:24.179946,2025-10-31T14:40:24.179946,"Bhandari Road, Belagavi"
64,2024-10-11T13:40:24.180056,2024-10-13T14:40:24.180056,"Khare Path, Dharwad"
65,2025-03-14T08:40:24.180151,2025-03-15T14:40:24.180151,"Mane Circle, Gadag"
66,2025-06-04T23:40:24.180252,2025-06-06T14:40:24.180252,"Bora Zila, Bagalkote"
67,2026-01-31T11:40:24.180320,2026-02-01T14:40:24.180320,"Sule Marg, Bagalkote"
68,2026-05-02T14:40:24.180445,2026-05-04T14:40:24.180445,"Chander Road, Chikkaballapura"
69,2026-02-20T05:40:24.180512,2026-02-22T14:40:24.180512,"Kamdar Path, Bengaluru Urban"
70,2025-12-26T16:40:24.180656,2025-12-27T14:40:24.180656,"Brar Zila, Vijayanagara"
71,2024-12-05T20:40:24.180752,2024-12-06T14:40:24.180752,"Kapadia Marg, Vijayanagara"
72,2025-11-07T19:40:24.181008,2025-11-10T14:40:24.181008,"Vasa Zila, Belagavi"
73,2026-03-07T11:40:24.181112,2026-03-08T14:40:24.181112,"Chaudhuri, Belagavi"
74,2026-06-19T13:40:24.181214,2026-06-21T14:40:24.181214,"Kade Marg, Belagavi"
75,2026-06-09T05:40:24.181299,2026-06-10T14:40:24.181299,"Deep Street, Belagavi"
76,2025-01-25T13:40:24.181389,2025-01-27T14:40:24.181389,"Andra Chowk, Belagavi"
77,2026-03-06T12:40:24.181516,2026-03-06T14:40:24.181516,"Lad Path, Bengaluru Rural"
78,2025-01-14T13:40:24.181726,2025-01-14T14:40:24.181726,"Brar Chowk, Bengaluru Urban"
79,2025-12-05T20:40:24.181850,2025-12-07T14:40:24.181850,"Loke Road, Chikkamagaluru"
80,2024-11-12T13:40:24.181959,2024-11-12T14:40:24.181959,"Kade Zila, Mysuru"
81,2025-09-23T22:40:24.182046,2025-09-24T14:40:24.182046,"Bhagat Circle, Udupi"
82,2025-07-30T01:40:24.182131,2025-07-31T14:40:24.182131,"Karnik Road, Koppal"
83,2024-08-01T02:40:24.182316,2024-08-02T14:40:24.182316,"Saran, Chikkamagaluru"
84,2026-06-23T11:40:24.182399,2026-06-25T14:40:24.182399,"Pau Road, Belagavi"
85,2025-09-06T19:40:24.182482,2025-09-09T14:40:24.182482,"Warrior Chowk, Mysuru"
86,2026-03-01T05:40:24.182621,2026-03-02T14:40:24.182621,"Kashyap Road, Belagavi"
87,2025-07-17T12:40:24.182762,2025-07-19T14:40:24.182762,"Magar Circle, Haveri"
88,2025-04-27T21:40:24.182864,2025-04-29T14:40:24.182864,"Swamy, Haveri"
89,2025-03-07T13:40:24.182940,2025-03-07T14:40:24.182940,"Grewal Nagar, Belagavi"
90,2025-12-02T23:40:24.183028,2025-12-05T14:40:24.183028,"Tak Nagar, Belagavi"
91,2025-12-19T21:40:24.183154,2025-12-20T14:40:24.183154,"Raj Road, Chamarajanagara"
92,2025-09-17T02:40:24.183247,2025-09-18T14:40:24.183247,"Issac Nagar, Kolar"
93,2026-04-13T08:40:24.183362,2026-04-13T14:40:24.183362,"Misra Chowk, Belagavi"
94,2026-04-25T21:40:24.183481,2026-04-26T14:40:24.183481,"Soman Nagar, Belagavi"
95,2026-04-25T14:40:24.183641,2026-04-26T14:40:24.183641,"Parekh Nagar, Vijayapura"
96,2026-05-18T14:40:24.183741,2026-05-20T14:40:24.183741,"Purohit Nagar, Kodagu"
97,2025-10-19T11:40:24.183821,2025-10-21T14:40:24.183821,"Menon Circle, Kalaburagi"
98,2026-02-14T20:40:24.184000,2026-02-15T14:40:24.184000,"Toor Nagar, Belagavi"
99,2026-06-15T04:40:24.184160,2026-06-15T14:40:24.184160,"Balay Street, Belagavi"
100,2025-11-13T06:40:24.184283,2025-11-13T14:40:24.184283,"Bhat Chowk, Kolar"
101,2026-01-04T05:40:24.184383,2026-01-06T14:40:24.184383,"Chaudhuri Zila, Kalaburagi"
102,2026-04-06T06:40:24.184478,2026-04-06T14:40:24.184478,"Sagar Circle, Belagavi"
103,2025-08-27T16:40:24.184632,2025-08-29T14:40:24.184632,"Nair Circle, Bengaluru Urban"
104,2025-01-28T00:40:24.184734,2025-01-29T14:40:24.184734,"Banerjee Nagar, Chitradurga"
105,2025-03-12T10:40:24.184825,2025-03-14T14:40:24.184825,"Bains Path, Belagavi"
106,2025-06-09T00:40:24.184906,2025-06-09T14:40:24.184906,"Peri Road, Belagavi"
107,2025-04-19T12:40:24.185036,2025-04-20T14:40:24.185036,"Raj, Shivamogga"
108,2025-04-28T16:40:24.185159,2025-05-01T14:40:24.185159,"Dua Ganj, Belagavi"
109,2026-06-06T06:40:24.185301,2026-06-08T14:40:24.185301,"Saraf Circle, Udupi"
110,2025-12-15T03:40:24.185396,2025-12-15T14:40:24.185396,"Chakraborty Path, Koppal"
111,2026-03-28T21:40:24.185498,2026-03-30T14:40:24.185498,"Sathe, Koppal"
112,2026-03-09T00:40:24.185639,2026-03-10T14:40:24.185639,"Atwal Road, Belagavi"
113,2026-03-14T14:40:24.185744,2026-03-16T14:40:24.185744,"Puri Nagar, Shivamogga"
114,2025-12-20T12:40:24.185833,2025-12-22T14:40:24.185833,"Parsa Road, Belagavi"
115,2026-02-04T22:40:24.186004,2026-02-05T14:40:24.186004,"Wali, Belagavi"
116,2026-04-18T19:40:24.186104,2026-04-21T14:40:24.186104,"Badami Street, Belagavi"
117,2026-04-20T23:40:24.186166,2026-04-23T14:40:24.186166,"Bhatia Road, Kolar"
118,2026-05-01T23:40:24.186267,2026-05-02T14:40:24.186267,"Ramaswamy Path, Tumakuru"
119,2026-03-29T01:40:24.186411,2026-03-30T14:40:24.186411,"Sani Street, Bidar"
120,2026-05-25T19:40:24.186506,2026-05-26T14:40:24.186506,"Savant Road, Bagalkote"
121,2025-04-05T08:40:24.186681,2025-04-07T14:40:24.186681,"Thakkar Street, Mandya"
122,2025-07-17T19:40:24.186779,2025-07-18T14:40:24.186779,"Madan Nagar, Bengaluru Urban"
123,2026-06-12T06:40:24.186913,2026-06-13T14:40:24.186913,"Ramesh Path, Ballari"
124,2026-06-07T16:40:24.187096,2026-06-10T14:40:24.187096,"Menon Marg, Belagavi"
125,2026-04-24T20:40:24.187224,2026-04-25T14:40:24.187224,"Sachdev Marg, Belagavi"
126,2024-07-26T17:40:24.187377,2024-07-27T14:40:24.187377,"Chada Path, Davanagere"
127,2026-02-24T09:40:24.187509,2026-02-25T14:40:24.187509,"Gola Street, Mysuru"
128,2024-10-16T03:40:24.187681,2024-10-16T14:40:24.187681,"Dalal Street, Ballari"
129,2025-12-18T06:40:24.187890,2025-12-18T14:40:24.187890,"Soni, Bengaluru Urban"
130,2026-05-19T15:40:24.188004,2026-05-22T14:40:24.188004,"Divan Street, Belagavi"
131,2024-09-04T16:40:24.188126,2024-09-06T14:40:24.188126,"Parsa Chowk, Mysuru"
132,2024-09-02T10:40:24.188280,2024-09-03T14:40:24.188280,"Bhardwaj, Chikkamagaluru"
133,2025-10-11T14:40:24.188408,2025-10-14T14:40:24.188408,"Shroff Nagar, Belagavi"
134,2026-04-09T00:40:24.188530,2026-04-10T14:40:24.188530,"Om Path, Belagavi"
135,2025-11-14T21:40:24.188710,2025-11-17T14:40:24.188710,"Bhalla Marg, Belagavi"
136,2025-10-15T10:40:24.188805,2025-10-15T14:40:24.188805,"Warrior Marg, Bengaluru Urban"
137,2026-06-14T18:40:24.188948,2026-06-17T14:40:24.188948,"Vohra Ganj, Belagavi"
138,2026-02-14T16:40:24.189065,2026-02-17T14:40:24.189065,"Subramanian Nagar, Kodagu"
139,2025-04-23T06:40:24.189205,2025-04-24T14:40:24.189205,"Agrawal Zila, Raichur"
140,2024-11-05T01:40:24.189346,2024-11-06T14:40:24.189346,"Hans Ganj, Vijayapura"
141,2026-02-04T11:40:24.189520,2026-02-04T14:40:24.189520,"Varkey, Belagavi"
142,2025-02-08T11:40:24.189735,2025-02-10T14:40:24.189735,"Sinha Nagar, Bagalkote"
143,2026-03-04T04:40:24.189818,2026-03-06T14:40:24.189818,"Gola Marg, Belagavi"
144,2025-02-19T09:40:24.189902,2025-02-21T14:40:24.189902,"Shroff Zila, Chitradurga"
145,2025-02-27T03:40:24.190045,2025-02-28T14:40:24.190045,"Ramanathan Path, Belagavi"
146,2025-07-21T10:40:24.190182,2025-07-23T14:40:24.190182,"Srinivas Path, Belagavi"
147,2026-02-13T07:40:24.190305,2026-02-15T14:40:24.190305,"Shenoy Circle, Belagavi"
148,2026-06-15T13:40:24.190456,2026-06-16T14:40:24.190456,"Sur Zila, Belagavi"
149,2025-03-06T01:40:24.190595,2025-03-08T14:40:24.190595,"Ravi Road, Bengaluru Urban"
150,2026-01-19T06:40:24.190747,2026-01-19T14:40:24.190747,"Acharya, Udupi"
151,2026-02-25T13:40:24.190896,2026-02-26T14:40:24.190896,"Pingle Nagar, Koppal"
152,2026-04-09T05:40:24.191059,2026-04-11T14:40:24.191059,"Rajagopalan Ganj, Belagavi"
153,2026-02-08T20:40:24.191140,2026-02-09T14:40:24.191140,"Sur Street, Belagavi"
154,2025-03-23T01:40:24.191235,2025-03-24T14:40:24.191235,"Kara Path, Chamarajanagara"
155,2026-01-19T15:40:24.191324,2026-01-20T14:40:24.191324,"Barad Nagar, Belagavi"
156,2024-11-04T03:40:24.191441,2024-11-05T14:40:24.191441,"Apte Circle, Vijayapura"
157,2025-11-03T19:40:24.191519,2025-11-04T14:40:24.191519,"Banik Street, Belagavi"
158,2025-04-19T01:40:24.191671,2025-04-20T14:40:24.191671,"Butala Chowk, Belagavi"
159,2024-10-01T04:40:24.191781,2024-10-03T14:40:24.191781,"Lal Street, Belagavi"
160,2024-08-05T02:40:24.191937,2024-08-07T14:40:24.191937,"Pai, Chitradurga"
161,2024-12-04T02:40:24.192064,2024-12-04T14:40:24.192064,"Walia Chowk, Hassan"
162,2025-08-04T09:40:24.192159,2025-08-06T14:40:24.192159,"Barman Circle, Yadgir"
163,2025-08-06T09:40:24.192274,2025-08-07T14:40:24.192274,"Munshi Street, Belagavi"
164,2025-02-11T00:40:24.192386,2025-02-13T14:40:24.192386,"Mander Ganj, Yadgir"
165,2025-11-19T03:40:24.192463,2025-11-20T14:40:24.192463,"De Zila, Koppal"
166,2026-04-02T03:40:24.192627,2026-04-02T14:40:24.192627,"Edwin Road, Chitradurga"
167,2025-08-17T17:40:24.192774,2025-08-18T14:40:24.192774,"Cherian, Belagavi"
168,2025-08-15T02:40:24.192884,2025-08-16T14:40:24.192884,"Narayan Street, Belagavi"
169,2025-04-10T04:40:24.192999,2025-04-11T14:40:24.192999,"Dara Chowk, Ramanagara"
170,2025-03-20T03:40:24.193097,2025-03-22T14:40:24.193097,"Mistry Ganj, Chitradurga"
171,2025-12-15T05:40:24.193210,2025-12-17T14:40:24.193210,"Ramachandran Chowk, Kodagu"
172,2025-04-22T02:40:24.193317,2025-04-23T14:40:24.193317,"Kaul Street, Belagavi"
173,2026-03-20T04:40:24.193396,2026-03-21T14:40:24.193396,"Gera Nagar, Haveri"
174,2025-03-09T03:40:24.193490,2025-03-09T14:40:24.193490,"Nazareth Marg, Mysuru"
175,2024-09-05T23:40:24.193678,2024-09-08T14:40:24.193678,"Baria Ganj, Dakshina Kannada"
176,2025-02-02T18:40:24.193775,2025-02-03T14:40:24.193775,"Soni Marg, Yadgir"
177,2026-02-12T08:40:24.193877,2026-02-14T14:40:24.193877,"Chakrabarti, Bengaluru Urban"
178,2026-05-28T23:40:24.193964,2026-05-31T14:40:24.193964,"Tripathi Circle, Bengaluru Rural"
179,2026-04-05T08:40:24.194076,2026-04-05T14:40:24.194076,"Natt Road, Dharwad"
180,2025-05-26T08:40:24.194164,2025-05-27T14:40:24.194164,"Bobal Zila, Belagavi"
181,2025-08-11T22:40:24.194281,2025-08-14T14:40:24.194281,"Borah Ganj, Mysuru"
182,2024-07-21T06:40:24.194414,2024-07-23T14:40:24.194414,"Bhasin Nagar, Gadag"
183,2024-10-24T17:40:24.194522,2024-10-25T14:40:24.194522,"Dugar Road, Mysuru"
184,2024-09-27T18:40:24.194718,2024-09-28T14:40:24.194718,"Thaman Chowk, Bagalkote"
185,2024-09-04T07:40:24.194798,2024-09-05T14:40:24.194798,"Tandon Chowk, Vijayanagara"
186,2024-10-06T00:40:24.194869,2024-10-08T14:40:24.194869,"Merchant Path, Mysuru"
187,2025-06-11T15:40:24.194932,2025-06-12T14:40:24.194932,"Bajwa Chowk, Shivamogga"
188,2025-11-07T08:40:24.194994,2025-11-07T14:40:24.194994,"Agarwal Chowk, Mysuru"
189,2024-12-05T09:40:24.195105,2024-12-05T14:40:24.195105,"Pau Marg, Belagavi"
190,2025-06-06T10:40:24.195198,2025-06-06T14:40:24.195198,"Zacharia Ganj, Belagavi"
191,2024-12-10T01:40:24.195270,2024-12-12T14:40:24.195270,"Thakur Road, Belagavi"
192,2025-07-30T13:40:24.195387,2025-07-31T14:40:24.195387,"Buch Zila, Ramanagara"
193,2024-10-24T03:40:24.195513,2024-10-24T14:40:24.195513,"Bajaj Circle, Chitradurga"
194,2024-07-25T08:40:24.195652,2024-07-25T14:40:24.195652,"Bhatnagar Ganj, Belagavi"
195,2026-01-24T18:40:24.195778,2026-01-26T14:40:24.195778,"Karan Road, Belagavi"
196,2024-07-15T04:40:24.195941,2024-07-17T14:40:24.195941,"Dyal, Koppal"
197,2026-04-17T12:40:24.196049,2026-04-19T14:40:24.196049,"Gour Path, Bengaluru Urban"
198,2025-11-30T06:40:24.196143,2025-11-30T14:40:24.196143,"Tata Marg, Belagavi"
199,2026-04-02T13:40:24.196267,2026-04-04T14:40:24.196267,"Dewan Nagar, Belagavi"
200,2025-07-12T22:40:24.196366,2025-07-15T14:40:24.196366,"Chanda Path, Vijayapura"
201,2025-08-05T06:40:24.196476,2025-08-06T14:40:24.196476,"Vaidya Path, Davanagere"
202,2026-05-10T12:40:24.196628,2026-05-10T14:40:24.196628,"Sehgal Road, Ramanagara"
203,2025-05-29T20:40:24.196731,2025-06-01T14:40:24.196731,"Mitter Ganj, Dakshina Kannada"
204,2026-01-29T09:40:24.196813,2026-01-30T14:40:24.196813,"Shere Street, Gadag"
205,2026-01-22T12:40:24.196905,2026-01-24T14:40:24.196905,"Agate Nagar, Bengaluru Rural"
206,2024-10-16T23:40:24.197029,2024-10-18T14:40:24.197029,"Soni Road, Udupi"
207,2026-06-23T02:40:24.197141,2026-06-25T14:40:24.197141,"Saini Path, Belagavi"
208,2026-01-11T22:40:24.197253,2026-01-14T14:40:24.197253,"Warrior Zila, Mysuru"
209,2025-11-19T11:40:24.197358,2025-11-21T14:40:24.197358,"Guha Ganj, Chikkamagaluru"
210,2024-09-26T04:40:24.197440,2024-09-26T14:40:24.197440,"Virk Chowk, Belagavi"
211,2024-08-05T02:40:24.197530,2024-08-05T14:40:24.197530,"Brar Street, Shivamogga"
212,2026-01-04T23:40:24.197711,2026-01-05T14:40:24.197711,"Iyengar, Davanagere"
213,2025-11-16T12:40:24.197828,2025-11-16T14:40:24.197828,"Handa Ganj, Kalaburagi"
214,2026-02-28T22:40:24.197957,2026-03-03T14:40:24.197957,"Chowdhury Marg, Hassan"
215,2024-07-27T23:40:24.198027,2024-07-30T14:40:24.198027,"Patel Chowk, Tumakuru"
216,2025-03-23T18:40:24.198126,2025-03-25T14:40:24.198126,"Reddy Circle, Dakshina Kannada"
217,2026-03-18T03:40:24.198274,2026-03-19T14:40:24.198274,"Rattan Marg, Bengaluru Urban"
218,2025-12-03T13:40:24.198384,2025-12-05T14:40:24.198384,"Mahajan Road, Dharwad"
219,2025-03-16T12:40:24.198477,2025-03-18T14:40:24.198477,"Tank Chowk, Chamarajanagara"
220,2026-01-01T15:40:24.198619,2026-01-02T14:40:24.198619,"Char Road, Mysuru"
221,2026-05-12T14:40:24.198734,2026-05-14T14:40:24.198734,"Badami Circle, Gadag"
222,2024-09-13T02:40:24.198851,2024-09-15T14:40:24.198851,"Desai Marg, Belagavi"
223,2026-05-17T15:40:24.198965,2026-05-20T14:40:24.198965,"Nagi Road, Hassan"
224,2024-12-26T00:40:24.199045,2024-12-28T14:40:24.199045,"Sangha Zila, Gadag"
225,2026-02-03T19:40:24.199163,2026-02-05T14:40:24.199163,"Sami Chowk, Chikkaballapura"
226,2026-02-23T19:40:24.199285,2026-02-25T14:40:24.199285,"Nori Circle, Bengaluru Urban"
227,2025-11-13T03:40:24.199389,2025-11-13T14:40:24.199389,"Ratti, Chikkamagaluru"
228,2025-05-11T02:40:24.199506,2025-05-12T14:40:24.199506,"Krishnamurthy Marg, Belagavi"
229,2025-09-17T05:40:24.199636,2025-09-17T14:40:24.199636,"Patla Ganj, Belagavi"
230,2024-11-22T12:40:24.199743,2024-11-24T14:40:24.199743,"Dyal Road, Davanagere"
231,2026-03-16T02:40:24.199877,2026-03-17T14:40:24.199877,"Sarin Circle, Chitradurga"
232,2025-03-28T16:40:24.199997,2025-03-30T14:40:24.199997,"Misra Path, Koppal"
233,2025-11-01T20:40:24.200070,2025-11-02T14:40:24.200070,"Choudhury Ganj, Mysuru"
234,2024-09-06T07:40:24.200197,2024-09-06T14:40:24.200197,"Maharaj Ganj, Raichur"
235,2026-05-16T17:40:24.200304,2026-05-18T14:40:24.200304,"Dhillon Road, Belagavi"
236,2025-10-28T23:40:24.200379,2025-10-29T14:40:24.200379,"Rajagopalan Circle, Mysuru"
237,2026-05-09T01:40:24.200474,2026-05-10T14:40:24.200474,"Kade Road, Bengaluru Urban"
238,2025-01-15T13:40:24.200702,2025-01-16T14:40:24.200702,"Narain, Bagalkote"
239,2026-04-06T07:40:24.200889,2026-04-07T14:40:24.200889,"Sridhar Chowk, Mandya"
240,2024-08-05T14:40:24.201070,2024-08-07T14:40:24.201070,"Karnik Circle, Chitradurga"
241,2026-01-29T05:40:24.201177,2026-01-31T14:40:24.201177,"Sanghvi Marg, Shivamogga"
242,2024-07-12T07:40:24.201308,2024-07-12T14:40:24.201308,"Dani Chowk, Dakshina Kannada"
243,2025-08-15T01:40:24.201472,2025-08-15T14:40:24.201472,"Sahota Ganj, Bagalkote"
244,2025-01-28T03:40:24.201668,2025-01-29T14:40:24.201668,"Rao Path, Mandya"
245,2024-10-09T22:40:24.201744,2024-10-10T14:40:24.201744,"Bhargava Circle, Ballari"
246,2026-06-19T05:40:24.201842,2026-06-20T14:40:24.201842,"Deo Path, Belagavi"
247,2025-09-16T16:40:24.202045,2025-09-18T14:40:24.202045,"Tata Street, Udupi"
248,2026-06-29T08:40:24.202212,2026-07-01T14:40:24.202212,"Banik Street, Bidar"
249,2025-11-16T16:40:24.202324,2025-11-17T14:40:24.202324,"Palla Zila, Mysuru"
250,2025-07-30T21:40:24.202408,2025-07-31T14:40:24.202408,"Gole Circle, Gadag"
251,2025-07-24T14:40:24.202580,2025-07-26T14:40:24.202580,"Luthra Chowk, Haveri"
252,2025-01-08T00:40:24.202747,2025-01-09T14:40:24.202747,"Gokhale Road, Mysuru"
253,2025-08-27T15:40:24.202843,2025-08-29T14:40:24.202843,"Dara Street, Mandya"
254,2024-08-21T22:40:24.202956,2024-08-22T14:40:24.202956,"Soni Marg, Vijayapura"
255,2026-05-06T19:40:24.203022,2026-05-08T14:40:24.203022,"Sandhu Marg, Tumakuru"
256,2026-02-15T23:40:24.203115,2026-02-18T14:40:24.203115,"Buch Marg, Belagavi"
257,2025-03-17T16:40:24.203253,2025-03-20T14:40:24.203253,"Chandra Marg, Vijayanagara"
258,2026-02-16T02:40:24.203336,2026-02-16T14:40:24.203336,"Gopal Street, Belagavi"
259,2025-04-02T19:40:24.203480,2025-04-03T14:40:24.203480,"Saraf Zila, Mandya"
260,2024-12-03T03:40:24.203627,2024-12-04T14:40:24.203627,"Mittal Marg, Shivamogga"
261,2025-02-05T04:40:24.203739,2025-02-07T14:40:24.203739,"Guha Nagar, Belagavi"
262,2026-02-28T14:40:24.203886,2026-03-01T14:40:24.203886,"Bains Marg, Belagavi"
263,2026-04-11T20:40:24.203979,2026-04-12T14:40:24.203979,"Menon Ganj, Belagavi"
264,2025-07-02T11:40:24.204103,2025-07-02T14:40:24.204103,"Varghese Chowk, Dakshina Kannada"
265,2025-11-29T18:40:24.204200,2025-12-02T14:40:24.204200,"Dada Chowk, Gadag"
266,2024-12-11T20:40:24.204280,2024-12-14T14:40:24.204280,"Sarma Path, Raichur"
267,2024-10-20T08:40:24.204383,2024-10-20T14:40:24.204383,"Johal, Belagavi"
268,2026-03-28T23:40:24.204469,2026-03-31T14:40:24.204469,"Swamy Street, Dakshina Kannada"
269,2026-05-09T15:40:24.204617,2026-05-12T14:40:24.204617,"Nazareth Zila, Mandya"
270,2025-12-18T20:40:24.204764,2025-12-20T14:40:24.204764,"Choudhry Chowk, Belagavi"
271,2025-02-14T05:40:24.204880,2025-02-16T14:40:24.204880,"Natt Path, Belagavi"
272,2025-10-11T14:40:24.204971,2025-10-13T14:40:24.204971,"Tiwari Road, Belagavi"
273,2026-05-18T16:40:24.205045,2026-05-19T14:40:24.205045,"Doshi Ganj, Belagavi"
274,2026-05-17T14:40:24.205130,2026-05-18T14:40:24.205130,"Savant Nagar, Ballari"
275,2025-09-24T18:40:24.205210,2025-09-26T14:40:24.205210,"Ratti Path, Davanagere"
276,2026-01-30T14:40:24.205329,2026-02-02T14:40:24.205329,"Din Circle, Bengaluru Urban"
277,2025-05-02T17:40:24.205428,2025-05-04T14:40:24.205428,"Venkatesh Street, Ramanagara"
