Sl,Station Code,Station,Unit,DCP,ACP
46,1644046,CHANDRA LAYOUT Police Station,Bangalore City,KENGERI GATE SUB-DIVISION,Law & Order
47,1644047,JNANABHARATHI Police Station,Bangalore City,KENGERI GATE SUB-DIVISION,Law & Order
48,1644048,KENGERI Police Station,Bangalore City,KENGERI GATE SUB-DIVISION,Law & Order
49,1644049,RAJARAJESHWARINAGARA Police Station,Bangalore City,KENGERI GATE SUB-DIVISION,Law & Order
50,1644050,ANNAPURNESHWARI NAGAR Police Station,Bangalore City,KENGERI GATE SUB-DIVISION,Law & Order
51,1644051,VIJAYANAGAR Police Station,Bangalore City,VIJAYANAGAR SUB-DIVISION,Law & Order
52,1644052,MAGADI ROAD Police Station,Bangalore City,VIJAYANAGAR SUB-DIVISION,Law & Order
53,1644053,K.P.AGRAHARA Police Station,Bangalore City,VIJAYANAGAR SUB-DIVISION,Law & Order
54,1644054,BASAVESHWARANAGAR Police Station,Bangalore City,VIJAYANAGAR SUB-DIVISION,Law & Order
55,1644055,CEN  BASAVESHWARANAGAR Police Station,Bangalore City,VIJAYANAGAR SUB-DIVISION,CEN (Cyber/Narcotics)
56,1644056,KAMAKSHIPALYA Police Station,Bangalore City,VIJAYANAGAR SUB-DIVISION,Law & Order
57,1644057,BYADARAHALLI Police Station,Bangalore City,VIJAYANAGAR SUB-DIVISION,Law & Order
58,1644058,CEN Police Station,Bangalore City,NORTH DIVISION,CEN (Cyber/Narcotics)
59,1644059,NORTH CONTROL ROOM Police Station,Bangalore City,NORTH DIVISION,Law & Order
60,1644060,MALLESHWARAM Police Station,Bangalore City,MALLESHWARAM  SUB-DIVISION,Law & Order
61,1644061,SRIRAMPURA Police Station,Bangalore City,MALLESHWARAM  SUB-DIVISION,Law & Order
62,1644062,RAJAJINAGAR Police Station,Bangalore City,MALLESHWARAM  SUB-DIVISION,Law & Order
63,1644063,SUBRAMANYA NAGAR Police Station,Bangalore City,MALLESHWARAM  SUB-DIVISION,Law & Order
64,1644064,MAHALAKSHMI LAYOUT Police Station,Bangalore City,MALLESHWARAM  SUB-DIVISION,Law & Order
65,1644065,RAJAGOPAL NAGAR Police Station,Bangalore City,MALLESHWARAM  SUB-DIVISION,Law & Order
66,1644066,NANDINI LAYOUT Police Station,Bangalore City,MALLESHWARAM  SUB-DIVISION,Law & Order
67,1644067,YESHWANTHAPURA Police Station,Bangalore City,YESHWANTHAPURA SUB-DIVISION,Law & Order
68,1644068,CEN  YEAHWANTHAPURA Police Station,Bangalore City,YESHWANTHAPURA SUB-DIVISION,CEN (Cyber/Narcotics)
69,1644069,R.M.C YARD Police Station,Bangalore City,YESHWANTHAPURA SUB-DIVISION,Law & Order
70,1644070,PEENYA Police Station,Bangalore City,YESHWANTHAPURA SUB-DIVISION,Law & Order
71,1644071,SOLADEVANAHALLI Police Station,Bangalore City,YESHWANTHAPURA SUB-DIVISION,Law & Order
72,1644072,GANGAMMANAGUDI Police Station,Bangalore City,YESHWANTHAPURA SUB-DIVISION,Law & Order
73,1644073,JALAHALLI Police Station,Bangalore City,YESHWANTHAPURA SUB-DIVISION,Law & Order
74,1644074,BAGALGUNTE Police Station,Bangalore City,YESHWANTHAPURA SUB-DIVISION,Law & Order
75,1644075,J.C.NAGAR Police Station,Bangalore City,J.C.NAGAR SUB-DIVISION,Law & Order
76,1644076,SANJAYANAGAR Police Station,Bangalore City,J.C.NAGAR SUB-DIVISION,Law & Order
77,1644077,HEBBALA Police Station,Bangalore City,J.C.NAGAR SUB-DIVISION,Law & Order
78,1644078,R.T.NAGAR Police Station,Bangalore City,J.C.NAGAR SUB-DIVISION,Law & Order
79,1644079,SOUTH CONTROL ROOM Police Station,Bangalore City,SOUTH  DIVISION,Law & Order
80,1644080,ACP JAYANAGAR Police Station,Bangalore City,JAYANAGARA  SUB-DIVISION,Law & Order
81,1644081,JAYANAGAR Police Station,Bangalore City,JAYANAGARA  SUB-DIVISION,Law & Order
82,1644082,BASAVANAGUDI Police Station,Bangalore City,JAYANAGARA  SUB-DIVISION,Law & Order
83,1644083,J.P.NAGAR Police Station,Bangalore City,JAYANAGARA  SUB-DIVISION,Law & Order
84,1644084,SIDDAPURA Police Station,Bangalore City,JAYANAGARA  SUB-DIVISION,Law & Order
85,1644085,BANASHANKARI Police Station,Bangalore City,JAYANAGARA  SUB-DIVISION,Law & Order
86,1644086,CEN  (CYBER ECONOMIC Police Station,Bangalore City,JAYANAGARA  SUB-DIVISION,CEN (Cyber/Narcotics)
87,1644087,BASAVANAGUDI WOMEN Police Station,Bangalore City,JAYANAGARA  SUB-DIVISION,Women PS
88,1644088,V.V.PURAM Police Station,Bangalore City,V.V.PURAM SUB-DIVISION,Law & Order
89,1644089,HANUMANTHANAGARA Police Station,Bangalore City,V.V.PURAM SUB-DIVISION,Law & Order
90,1644090,KEMPEGOWDA NAGAR Police Station,Bangalore City,V.V.PURAM SUB-DIVISION,Law & Order
91,1644091,SHANKARAPURAM Police Station,Bangalore City,V.V.PURAM SUB-DIVISION,Law & Order
92,1644092,GIRINAGAR Police Station,Bangalore City,V.V.PURAM SUB-DIVISION,Law & Order
93,1644093,C.K.ACHUKATTU Police Station,Bangalore City,V.V.PURAM SUB-DIVISION,Law & Order
94,1644094,SUBRAMANYAPURA Police Station,Bangalore City,SUBRAMANYAPURA SUB-DIVISION,Law & Order
95,1644095,K.S. LAYOUT Police Station,Bangalore City,SUBRAMANYAPURA SUB-DIVISION,Law & Order
96,1644096,TALAGHATTAPURA Police Station,Bangalore City,SUBRAMANYAPURA SUB-DIVISION,Law & Order
97,1644097,KONANAKUNTE Police Station,Bangalore City,SUBRAMANYAPURA SUB-DIVISION,Law & Order
98,1644098,PUTTENAHALLI Police Station,Bangalore City,SUBRAMANYAPURA SUB-DIVISION,Law & Order
99,1644099,NORTH-EAST CONTROL ROOM Police Station,Bangalore City,NORTH EAST DIVISION,Law & Order
100,1644100,YELAHANKA Police Station,Bangalore City,YELAHANKA   SUB-DIVISION,Law & Order
101,1644101,CEN Police Station,Bangalore City,YELAHANKA   SUB-DIVISION,CEN (Cyber/Narcotics)
102,1644102,YELAHANKA   NEW TOWN Police Station,Bangalore City,YELAHANKA   SUB-DIVISION,Law & Order
103,1644103,KODIGEHALLI Police Station,Bangalore City,YELAHANKA   SUB-DIVISION,Law & Order
104,1644104,VIDYARANYAPURA Police Station,Bangalore City,YELAHANKA   SUB-DIVISION,Law & Order
105,1644105,SAMPIGEHALLI Police Station,Bangalore City,SAMPIGEHALLI SUB-DIVISION,Law & Order
106,1644106,KOTHANURU Police Station,Bangalore City,SAMPIGEHALLI SUB-DIVISION,Law & Order
107,1644107,BHAGALURU Police Station,Bangalore City,SAMPIGEHALLI SUB-DIVISION,Law & Order
108,1644108,AMRUTHAHALLI Police Station,Bangalore City,SAMPIGEHALLI SUB-DIVISION,Law & Order
109,1644109,INTERNATIONAL   AIRPORT Police Station,Bangalore City,DEVANAHALLI  SUB-DIVISION,Law & Order
110,1644110,DEVANAHALLI Police Station,Bangalore City,DEVANAHALLI  SUB-DIVISION,Law & Order
111,1644111,CHIKKAJALA Police Station,Bangalore City,DEVANAHALLI  SUB-DIVISION,Law & Order
112,1644112,ELECTRONIC CITY Police Station,Bangalore City,ELECTRONIC CITY SUB-DIVISION,Law & Order
113,1644113,BANDEPALYA Police Station,Bangalore City,ELECTRONIC CITY SUB-DIVISION,Law & Order
114,1644114,HULIMAVU Police Station,Bangalore City,ELECTRONIC CITY SUB-DIVISION,Law & Order
115,1644115,BEGURU Police Station,Bangalore City,ELECTRONIC CITY SUB-DIVISION,Law & Order
116,1644116,PARAPPANA AGRAHARA Police Station,Bangalore City,ELECTRONIC CITY SUB-DIVISION,Law & Order
117,1644117,THILAKANAGAR Police Station,Bangalore City,MICO LAYOUT SUB-DIVISION,Law & Order
118,1644118,MICO LAYOUT Police Station,Bangalore City,MICO LAYOUT SUB-DIVISION,Law & Order
119,1644119,BOMMANAHALLI Police Station,Bangalore City,MICO LAYOUT SUB-DIVISION,Law & Order
120,1644120,SUDDGUNTEPALYA Police Station,Bangalore City,MICO LAYOUT SUB-DIVISION,Law & Order
121,1644121,KORAMANGALA Police Station,Bangalore City,MADIVALA SUB-DIVISION,Law & Order
122,1644122,MADIVALA Police Station,Bangalore City,MADIVALA SUB-DIVISION,Law & Order
123,1644123,H.S.R LAYOUT Police Station,Bangalore City,MADIVALA SUB-DIVISION,Law & Order
124,1644124,CEN  (CYBER ECONOMIC Police Station,Bangalore City,MADIVALA SUB-DIVISION,CEN (Cyber/Narcotics)
125,1644125,ADUGODI Police Station,Bangalore City,MADIVALA SUB-DIVISION,Law & Order
126,1644126,WHITE FIELD CONTROL ROOM Police Station,Bangalore City,WHITE FIELD DIVISION,Law & Order
127,1644127,WHITE FIELD Police Station,Bangalore City,WHITE FIELD SUB DIVISION,Law & Order
128,1644128,CEN  (CYBER ECONOMIC Police Station,Bangalore City,WHITE FIELD SUB DIVISION,CEN (Cyber/Narcotics)
129,1644129,K.R.PURAM Police Station,Bangalore City,WHITE FIELD SUB DIVISION,Law & Order
130,1644130,MAHADEVAPURA Police Station,Bangalore City,WHITE FIELD SUB DIVISION,Law & Order
131,1644131,KADUGODI Police Station,Bangalore City,WHITE FIELD SUB DIVISION,Law & Order
132,1644132,MARATHAHALLI Police Station,Bangalore City,MARATHAHALLI SUB DIVISION,Law & Order
133,1644133,H.A.L Police Station,Bangalore City,MARATHAHALLI SUB DIVISION,Law & Order
134,1644134,BELLANDURU Police Station,Bangalore City,MARATHAHALLI SUB DIVISION,Law & Order
135,1644135,VARTHUR Police Station,Bangalore City,MARATHAHALLI SUB DIVISION,Law & Order
136,1644136,TRAFFIC EAST CONTROL ROOM Police Station,Bangalore City,TRAFFIC EAST-DIVISION,Traffic
137,1644137,CUBBON PARK Police Station,Bangalore City,TRAFFIC CENTRAL SUB-DIVISION,Traffic
138,1644138,HALSOOR GATE Police Station,Bangalore City,TRAFFIC CENTRAL SUB-DIVISION,Traffic
139,1644139,HIGH GROUND Police Station,Bangalore City,TRAFFIC CENTRAL SUB-DIVISION,Traffic
140,1644140,ASHOKANAGAR Police Station,Bangalore City,TRAFFIC CENTRAL SUB-DIVISION,Traffic
141,1644141,WILSON GARDEN Police Station,Bangalore City,TRAFFIC CENTRAL SUB-DIVISION,Traffic
142,1644142,SADASHIVANAGAR Police Station,Bangalore City,TRAFFIC CENTRAL SUB-DIVISION,Traffic
143,1644143,HALASOOR Police Station,Bangalore City,TRAFFIC EAST SUB -DIVISION,Traffic
144,1644144,JEEVANBHEEMA NAGAR Police Station,Bangalore City,TRAFFIC EAST SUB -DIVISION,Traffic
145,1644145,SHIVAJINAGAR Police Station,Bangalore City,TRAFFIC EAST SUB -DIVISION,Traffic
146,1644146,PULAKESHI NAGAR Police Station,Bangalore City,TRAFFIC EAST SUB -DIVISION,Traffic
147,1644147,BANASAWADI Police Station,Bangalore City,TRAFFIC EAST SUB -DIVISION,Traffic
148,1644148,K.G.HALLI Police Station,Bangalore City,TRAFFIC EAST SUB -DIVISION,Traffic
149,1644149,ADUGODI Police Station,Bangalore City,TRAFFIC SOUTH-EAST SUB-DIVISION,Traffic
150,1644150,ELECTRONIC CITY Police Station,Bangalore City,TRAFFIC SOUTH-EAST SUB-DIVISION,Traffic
151,1644151,MADIVALA Police Station,Bangalore City,TRAFFIC SOUTH-EAST SUB-DIVISION,Traffic
152,1644152,MICO LAYOUT Police Station,Bangalore City,TRAFFIC SOUTH-EAST SUB-DIVISION,Traffic
153,1644153,HULIMAVU Police Station,Bangalore City,TRAFFIC SOUTH-EAST SUB-DIVISION,Traffic
154,1644154,H.S.R LAYOUT Police Station,Bangalore City,TRAFFIC SOUTH-EAST SUB-DIVISION,Traffic
155,1644155,PLANNING Police Station,Bangalore City,TRAFFIC SOUTH-EAST SUB-DIVISION,Traffic
156,1644156,AIRPORT Police Station,Bangalore City,TRAFFIC WHITE FIELD SUB-DIVISION,Traffic
157,1644157,WHITE FIELD Police Station,Bangalore City,TRAFFIC WHITE FIELD SUB-DIVISION,Traffic
158,1644158,K.R.PURAM Police Station,Bangalore City,TRAFFIC WHITE FIELD SUB-DIVISION,Traffic
159,1644159,TRAFFIC WEST CONTROL ROOM Police Station,Bangalore City,TRAFFIC WEST DIVISION,Traffic
160,1644160,CHICKPETE Police Station,Bangalore City,TRAFFIC WEST SUB-DIVISION,Traffic
161,1644161,UPPARPETE Police Station,Bangalore City,TRAFFIC WEST SUB-DIVISION,Traffic
162,1644162,CITY MARKET Police Station,Bangalore City,TRAFFIC WEST SUB-DIVISION,Traffic
163,1644163,MAGADI ROAD Police Station,Bangalore City,TRAFFIC WEST SUB-DIVISION,Traffic
164,1644164,VIJAYANAGAR Police Station,Bangalore City,TRAFFIC WEST SUB-DIVISION,Traffic
165,1644165,BYATARAYANAPURA Police Station,Bangalore City,TRAFFIC WEST SUB-DIVISION,Traffic
166,1644166,KAMAKSHIPALYA Police Station,Bangalore City,TRAFFIC WEST SUB-DIVISION,Traffic
167,1644167,KENGERI Police Station,Bangalore City,TRAFFIC WEST SUB-DIVISION,Traffic
168,1644168,MALLESHWARAM Police Station,Bangalore City,TRAFFIC NORTH SUB-DIVISION,Traffic
169,1644169,RAJAJINAGAR Police Station,Bangalore City,TRAFFIC NORTH SUB-DIVISION,Traffic
170,1644170,YESHWANTHAPURA Police Station,Bangalore City,TRAFFIC NORTH SUB-DIVISION,Traffic
171,1644171,JALAHALLI Police Station,Bangalore City,TRAFFIC NORTH SUB-DIVISION,Traffic
172,1644172,PEENYA Police Station,Bangalore City,TRAFFIC NORTH SUB-DIVISION,Traffic
173,1644173,V V PURAM Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
174,1644174,"TR, JAYANAGAR Police Station",Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
175,1644175,BASAVANAGUDI Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
176,1644176,TR BANASHANKARI Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
177,1644177,KUMARASWAMY LAYOUT Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
178,1644178,YELAHANKA Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
179,1644179,HEBBALA Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
180,1644180,CHIKKAJALA Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
181,1644181,DEVANAHALLI Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
182,1644182,R.T.NAGAR Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
183,1644183,CCB CONTROL ROOM Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
184,1644184,F&M Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
185,1644185,F&M Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
186,1644186,W&N Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
187,1644187,W&N Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
188,1644188,W&N Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
189,1644189,W&N Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
190,1644190,OCW Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
191,1644191,H&B Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
192,1644192,CITY SB CONTROL ROOM Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
193,1644193,CAR HQRS.CONTROL ROOM Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
194,1644194,CAR SOUTH CONTROL ROOM Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
195,1644195,CAR NORTH CONTROL ROOM Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
196,1644196,CAR WEST CONTROL ROOM Police Station,Bangalore City,TRAFFIC SOUTH-SUB DIVISION,Traffic
